stone 石頭
flowering_azalea_leaves 開花的杜鵑葉
sponge 海綿
wet_sponge 濕海綿
glass 玻璃
lapis_ore 青金石礦
deepslate_lapis_ore 深板岩青金石礦
lapis_block 青金石方塊
dispenser 發射器
sandstone 砂岩
chiseled_sandstone 浮雕砂岩
cut_sandstone 切製砂岩
note_block 音階盒
white_bed 白色床
orange_bed 橙色床
magenta_bed 洋紅色床
light_blue_bed 淺藍色床
yellow_bed 黃色床
lime_bed 淺綠色床
pink_bed 粉紅色床
gray_bed 灰色床
light_gray_bed 淺灰色床
cyan_bed 青色床
purple_bed 紫色床
blue_bed 藍色床
brown_bed 棕色床
green_bed 綠色床
red_bed 紅色床
black_bed 黑色床
powered_rail 動力鐵軌
detector_rail 感測鐵軌
sticky_piston 黏性活塞
cobweb 蜘蛛網
grass 草
fern 蕨
dead_bush 枯灌木
seagrass 海草
piston 活塞
white_wool 白色羊毛
orange_wool 橙色羊毛
magenta_wool 洋紅色羊毛
light_blue_wool 淺藍色羊毛
yellow_wool 黃色羊毛
lime_wool 淺綠色羊毛
pink_wool 粉紅色羊毛
gray_wool 灰色羊毛
light_gray_wool 淺灰色羊毛
cyan_wool 青色羊毛
purple_wool 紫色羊毛
blue_wool 藍色羊毛
brown_wool 棕色羊毛
green_wool 綠色羊毛
red_wool 紅色羊毛
black_wool 黑色羊毛
dandelion 蒲公英
poppy 罌粟
blue_orchid 藍色蝴蝶蘭
allium 紫紅球花
azure_bluet 雛草
red_tulip 紅色鬱金香
orange_tulip 橙色鬱金香
white_tulip 白色鬱金香
pink_tulip 粉紅色鬱金香
oxeye_daisy 雛菊
cornflower 矢車菊
wither_rose 凋零玫瑰
lily_of_the_valley 鈴蘭
brown_mushroom 棕色蘑菇
red_mushroom 紅色蘑菇
gold_block 黃金方塊
iron_block 鐵方塊
bricks 紅磚
tnt TNT
bookshelf 書櫃
mossy_cobblestone 青苔鵝卵石
obsidian 黑曜石
torch 火把
spawner 生怪磚
oak_stairs 橡木階梯
chest 儲物箱
diamond_ore 鑽石礦
deepslate_diamond_ore 深板岩鑽石礦
diamond_block 鑽石方塊
crafting_table 工作台
wheat 小麥
farmland 耕地
furnace 熔爐
oak_sign 橡木告示牌
spruce_sign 杉木告示牌
birch_sign 樺木告示牌
acacia_sign 相思木告示牌
jungle_sign 叢林木告示牌
dark_oak_sign 黑橡木告示牌
mangrove_sign 紅樹林木告示牌
oak_door 橡木門
ladder 梯子
rail 鐵軌
cobblestone_stairs 鵝卵石階梯
lever 控制桿
stone_pressure_plate 石製壓力板
iron_door 鐵門
oak_pressure_plate 橡木壓力板
spruce_pressure_plate 杉木壓力板
birch_pressure_plate 樺木壓力板
jungle_pressure_plate 叢林木壓力板
acacia_pressure_plate 相思木壓力板
dark_oak_pressure_plate 黑橡木壓力板
mangrove_pressure_plate 紅樹林木壓力板
redstone_ore 紅石礦
deepslate_redstone_ore 深板岩紅石礦
redstone_torch 紅石火把
stone_button 石製按鈕
snow 雪
ice 冰
snow_block 雪塊
cactus 仙人掌
clay 黏土
sugar_cane 甘蔗
jukebox 唱片機
oak_fence 橡木柵欄
pumpkin 南瓜
netherrack 地獄石
soul_sand 靈魂砂
soul_soil 靈魂土
basalt 玄武岩
polished_basalt 拋光玄武岩
soul_torch 靈魂火把
glowstone 螢光石
carved_pumpkin 雕刻過的南瓜
jack_o_lantern 南瓜燈
cake 蛋糕
repeater 紅石中繼器
white_stained_glass 白色玻璃
orange_stained_glass 橙色玻璃
magenta_stained_glass 洋紅色玻璃
light_blue_stained_glass 淺藍色玻璃
yellow_stained_glass 黃色玻璃
lime_stained_glass 淺綠色玻璃
pink_stained_glass 粉紅色玻璃
gray_stained_glass 灰色玻璃
light_gray_stained_glass 淺灰色玻璃
cyan_stained_glass 青色玻璃
purple_stained_glass 紫色玻璃
blue_stained_glass 藍色玻璃
brown_stained_glass 棕色玻璃
green_stained_glass 綠色玻璃
red_stained_glass 紅色玻璃
black_stained_glass 黑色玻璃
oak_trapdoor 橡木地板門
spruce_trapdoor 杉木地板門
birch_trapdoor 樺木地板門
jungle_trapdoor 叢林木地板門
acacia_trapdoor 相思木地板門
dark_oak_trapdoor 黑橡木地板門
mangrove_trapdoor 紅樹林木地板門
stone_bricks 石磚
mossy_stone_bricks 青苔石磚
cracked_stone_bricks 裂紋石磚
chiseled_stone_bricks 浮雕石磚
packed_mud 泥坯
mud_bricks 泥磚
infested_stone 蛀蝕的石頭
infested_cobblestone 蛀蝕的鵝卵石
infested_stone_bricks 蛀蝕的石磚
infested_mossy_stone_bricks 蛀蝕的青苔石磚
infested_cracked_stone_bricks 蛀蝕的裂紋石磚
infested_chiseled_stone_bricks 蛀蝕的浮雕石磚
iron_bars 鐵柵欄
chain 鎖鏈
glass_pane 玻璃片
melon 西瓜
vine 藤蔓
glow_lichen 發光地衣
oak_fence_gate 橡木柵欄門
brick_stairs 紅磚階梯
stone_brick_stairs 石磚階梯
mud_brick_stairs 泥磚階梯
mycelium 菌絲土
lily_pad 荷葉
nether_bricks 地獄磚
nether_brick_fence 地獄磚柵欄
nether_brick_stairs 地獄磚階梯
nether_wart 地獄疙瘩
enchanting_table 附魔台
brewing_stand 釀造台
cauldron 鍋釜
end_portal_frame 終界傳送門框架
end_stone 終界石
dragon_egg 龍蛋
redstone_lamp 紅石燈
sandstone_stairs 砂岩階梯
emerald_ore 綠寶石礦
deepslate_emerald_ore 深板岩綠寶石礦
ender_chest 終界箱
tripwire_hook 絆線鉤
emerald_block 綠寶石方塊
spruce_stairs 杉木階梯
birch_stairs 樺木階梯
jungle_stairs 叢林木階梯
beacon 烽火台
cobblestone_wall 鵝卵石牆
mossy_cobblestone_wall 青苔鵝卵石牆
flower_pot 花盆
oak_button 橡木按鈕
spruce_button 杉木按鈕
birch_button 樺木按鈕
jungle_button 叢林木按鈕
acacia_button 相思木按鈕
dark_oak_button 黑橡木按鈕
mangrove_button 紅樹林木按鈕
skeleton_skull 骷髏頭顱
wither_skeleton_skull 凋零骷髏頭顱
zombie_head 殭屍頭顱
player_head 玩家頭顱
creeper_head 苦力怕頭顱
dragon_head 龍首
anvil 鐵砧
chipped_anvil 微損的鐵砧
damaged_anvil 耗損的鐵砧
trapped_chest 陷阱儲物箱
light_weighted_pressure_plate 輕質測重壓力板
heavy_weighted_pressure_plate 重質測重壓力板
comparator 紅石比較器
daylight_detector 日光感測器
redstone_block 紅石方塊
nether_quartz_ore 地獄石英礦
hopper 漏斗
quartz_block 石英方塊
chiseled_quartz_block 浮雕石英方塊
quartz_pillar 石英柱
quartz_stairs 石英階梯
activator_rail 觸發鐵軌
dropper 投擲器
white_terracotta 白色陶土
orange_terracotta 橙色陶土
magenta_terracotta 洋紅色陶土
light_blue_terracotta 淺藍色陶土
yellow_terracotta 黃色陶土
lime_terracotta 淺綠色陶土
pink_terracotta 粉紅色陶土
gray_terracotta 灰色陶土
light_gray_terracotta 淺灰色陶土
cyan_terracotta 青色陶土
purple_terracotta 紫色陶土
blue_terracotta 藍色陶土
brown_terracotta 棕色陶土
green_terracotta 綠色陶土
red_terracotta 紅色陶土
black_terracotta 黑色陶土
white_stained_glass_pane 白色玻璃片
orange_stained_glass_pane 橙色玻璃片
magenta_stained_glass_pane 洋紅色玻璃片
light_blue_stained_glass_pane 淺藍色玻璃片
yellow_stained_glass_pane 黃色玻璃片
lime_stained_glass_pane 淺綠色玻璃片
pink_stained_glass_pane 粉紅色玻璃片
gray_stained_glass_pane 灰色玻璃片
light_gray_stained_glass_pane 淺灰色玻璃片
cyan_stained_glass_pane 青色玻璃片
purple_stained_glass_pane 紫色玻璃片
blue_stained_glass_pane 藍色玻璃片
brown_stained_glass_pane 棕色玻璃片
green_stained_glass_pane 綠色玻璃片
red_stained_glass_pane 紅色玻璃片
black_stained_glass_pane 黑色玻璃片
acacia_stairs 相思木階梯
dark_oak_stairs 黑橡木階梯
mangrove_stairs 紅樹林木階梯
slime_block 史萊姆方塊
barrier 屏障
iron_trapdoor 鐵製地板門
prismarine 海磷石
prismarine_bricks 海磷石磚
dark_prismarine 暗海磷石
prismarine_stairs 海磷石階梯
prismarine_brick_stairs 海磷石磚階梯
dark_prismarine_stairs 暗海磷石階梯
prismarine_slab 海磷石半磚
prismarine_brick_slab 海磷石磚半磚
dark_prismarine_slab 暗海磷石半磚
sea_lantern 海燈籠
hay_block 乾草捆
white_carpet 白色地毯
orange_carpet 橙色地毯
magenta_carpet 洋紅色地毯
light_blue_carpet 淺藍色地毯
yellow_carpet 黃色地毯
lime_carpet 淺綠色地毯
pink_carpet 粉紅色地毯
gray_carpet 灰色地毯
light_gray_carpet 淺灰色地毯
cyan_carpet 青色地毯
purple_carpet 紫色地毯
blue_carpet 藍色地毯
brown_carpet 棕色地毯
green_carpet 綠色地毯
red_carpet 紅色地毯
black_carpet 黑色地毯
terracotta 陶土
coal_block 煤炭方塊
packed_ice 冰磚
sunflower 向日葵
lilac 紫丁香
rose_bush 玫瑰叢
peony 牡丹花
tall_grass 芒草
large_fern 大型蕨類
white_banner 白色旗幟
orange_banner 橙色旗幟
magenta_banner 洋紅色旗幟
light_blue_banner 淺藍色旗幟
yellow_banner 黃色旗幟
lime_banner 淺綠色旗幟
pink_banner 粉紅色旗幟
gray_banner 灰色旗幟
light_gray_banner 淺灰色旗幟
cyan_banner 青色旗幟
purple_banner 紫色旗幟
blue_banner 藍色旗幟
brown_banner 棕色旗幟
green_banner 綠色旗幟
red_banner 紅色旗幟
black_banner 黑色旗幟
red_sandstone 紅砂岩
chiseled_red_sandstone 浮雕紅砂岩
cut_red_sandstone 切製紅砂岩
red_sandstone_stairs 紅砂岩階梯
oak_slab 橡木半磚
spruce_slab 杉木半磚
birch_slab 樺木半磚
jungle_slab 叢林木半磚
acacia_slab 相思木半磚
dark_oak_slab 黑橡木半磚
mangrove_slab 紅樹林木半磚
stone_slab 石半磚
smooth_stone_slab 平滑石半磚
sandstone_slab 砂岩半磚
cut_sandstone_slab 切製砂岩半磚
petrified_oak_slab 石化橡木半磚
cobblestone_slab 鵝卵石半磚
brick_slab 紅磚半磚
stone_brick_slab 石磚半磚
mud_brick_slab 泥磚半磚
nether_brick_slab 地獄磚半磚
quartz_slab 石英半磚
red_sandstone_slab 紅砂岩半磚
cut_red_sandstone_slab 切製紅砂岩半磚
purpur_slab 紫珀半磚
smooth_stone 平滑石頭
smooth_sandstone 平滑砂岩
smooth_quartz 平滑石英方塊
smooth_red_sandstone 平滑紅砂岩
spruce_fence_gate 杉木柵欄門
birch_fence_gate 樺木柵欄門
jungle_fence_gate 叢林木柵欄門
acacia_fence_gate 相思木柵欄門
dark_oak_fence_gate 黑橡木柵欄門
mangrove_fence_gate 紅樹林木柵欄門
spruce_fence 杉木柵欄
birch_fence 樺木柵欄
jungle_fence 叢林木柵欄
acacia_fence 相思木柵欄
dark_oak_fence 黑橡木柵欄
mangrove_fence 紅樹林木柵欄
spruce_door 杉木門
birch_door 樺木門
jungle_door 叢林木門
acacia_door 相思木門
dark_oak_door 黑橡木門
mangrove_door 紅樹林木門
end_rod 終界燭
chorus_plant 歌萊枝
chorus_flower 歌萊花
purpur_block 紫珀方塊
purpur_pillar 紫珀柱
purpur_stairs 紫珀階梯
end_stone_bricks 終界石磚
dirt_path 土徑
magma_block 岩漿塊
nether_wart_block 地獄疙瘩塊
red_nether_bricks 紅地獄磚
bone_block 骨塊
observer 偵測器
shulker_box 界伏盒
white_shulker_box 白色界伏盒
orange_shulker_box 橙色界伏盒
magenta_shulker_box 洋紅色界伏盒
light_blue_shulker_box 淺藍色界伏盒
yellow_shulker_box 黃色界伏盒
lime_shulker_box 淺綠色界伏盒
pink_shulker_box 粉紅色界伏盒
gray_shulker_box 灰色界伏盒
light_gray_shulker_box 淺灰色界伏盒
cyan_shulker_box 青色界伏盒
purple_shulker_box 紫色界伏盒
blue_shulker_box 藍色界伏盒
brown_shulker_box 棕色界伏盒
green_shulker_box 綠色界伏盒
red_shulker_box 紅色界伏盒
black_shulker_box 黑色界伏盒
white_glazed_terracotta 白色釉陶
orange_glazed_terracotta 橙色釉陶
magenta_glazed_terracotta 洋紅色釉陶
light_blue_glazed_terracotta 淺藍色釉陶
yellow_glazed_terracotta 黃色釉陶
lime_glazed_terracotta 淺綠色釉陶
pink_glazed_terracotta 粉紅色釉陶
gray_glazed_terracotta 灰色釉陶
light_gray_glazed_terracotta 淺灰色釉陶
cyan_glazed_terracotta 青色釉陶
purple_glazed_terracotta 紫色釉陶
blue_glazed_terracotta 藍色釉陶
brown_glazed_terracotta 棕色釉陶
green_glazed_terracotta 綠色釉陶
red_glazed_terracotta 紅色釉陶
black_glazed_terracotta 黑色釉陶
white_concrete 白色混凝土
orange_concrete 橙色混凝土
magenta_concrete 洋紅色混凝土
light_blue_concrete 淺藍色混凝土
yellow_concrete 黃色混凝土
lime_concrete 淺綠色混凝土
pink_concrete 粉紅色混凝土
gray_concrete 灰色混凝土
light_gray_concrete 淺灰色混凝土
cyan_concrete 青色混凝土
purple_concrete 紫色混凝土
blue_concrete 藍色混凝土
brown_concrete 棕色混凝土
green_concrete 綠色混凝土
red_concrete 紅色混凝土
black_concrete 黑色混凝土
white_concrete_powder 白色混凝土粉末
orange_concrete_powder 橙色混凝土粉末
magenta_concrete_powder 洋紅色混凝土粉末
light_blue_concrete_powder 淺藍色混凝土粉末
yellow_concrete_powder 黃色混凝土粉末
lime_concrete_powder 淺綠色混凝土粉末
pink_concrete_powder 粉紅色混凝土粉末
gray_concrete_powder 灰色混凝土粉末
light_gray_concrete_powder 淺灰色混凝土粉末
cyan_concrete_powder 青色混凝土粉末
purple_concrete_powder 紫色混凝土粉末
blue_concrete_powder 藍色混凝土粉末
brown_concrete_powder 棕色混凝土粉末
green_concrete_powder 綠色混凝土粉末
red_concrete_powder 紅色混凝土粉末
black_concrete_powder 黑色混凝土粉末
kelp 海帶
dried_kelp_block 海帶乾塊
turtle_egg 海龜蛋
dead_tube_coral_block 死亡的管珊瑚方塊
dead_brain_coral_block 死亡的腦珊瑚方塊
dead_bubble_coral_block 死亡的氣泡珊瑚方塊
dead_fire_coral_block 死亡的火珊瑚方塊
dead_horn_coral_block 死亡的角珊瑚方塊
tube_coral_block 管珊瑚方塊
brain_coral_block 腦珊瑚方塊
bubble_coral_block 氣泡珊瑚方塊
fire_coral_block 火珊瑚方塊
horn_coral_block 角珊瑚方塊
dead_tube_coral 死亡的管珊瑚
dead_brain_coral 死亡的腦珊瑚
dead_bubble_coral 死亡的氣泡珊瑚
dead_fire_coral 死亡的火珊瑚
dead_horn_coral 死亡的角珊瑚
tube_coral 管珊瑚
brain_coral 腦珊瑚
bubble_coral 氣泡珊瑚
fire_coral 火珊瑚
horn_coral 角珊瑚
dead_tube_coral_fan 死亡的扇狀管珊瑚
dead_brain_coral_fan 死亡的扇狀腦珊瑚
dead_bubble_coral_fan 死亡的扇狀氣泡珊瑚
dead_fire_coral_fan 死亡的扇狀火珊瑚
dead_horn_coral_fan 死亡的扇狀角珊瑚
tube_coral_fan 扇狀管珊瑚
brain_coral_fan 扇狀腦珊瑚
bubble_coral_fan 扇狀氣泡珊瑚
fire_coral_fan 扇狀火珊瑚
horn_coral_fan 扇狀角珊瑚
sea_pickle 海鞘
blue_ice 藍冰
conduit 海靈核心
bamboo 竹子
polished_granite_stairs 拋光花崗岩階梯
smooth_red_sandstone_stairs 平滑紅砂岩階梯
mossy_stone_brick_stairs 青苔石磚階梯
polished_diorite_stairs 拋光閃長岩階梯
mossy_cobblestone_stairs 青苔鵝卵石階梯
end_stone_brick_stairs 終界石磚階梯
stone_stairs 石頭階梯
smooth_sandstone_stairs 平滑砂岩階梯
smooth_quartz_stairs 平滑石英階梯
granite_stairs 花崗岩階梯
andesite_stairs 安山岩階梯
red_nether_brick_stairs 紅地獄磚階梯
polished_andesite_stairs 拋光安山岩階梯
diorite_stairs 閃長岩階梯
polished_granite_slab 拋光花崗岩半磚
smooth_red_sandstone_slab 平滑紅砂岩半磚
mossy_stone_brick_slab 青苔石磚半磚
polished_diorite_slab 拋光閃長岩半磚
mossy_cobblestone_slab 青苔鵝卵石半磚
end_stone_brick_slab 終界石磚半磚
smooth_sandstone_slab 平滑砂岩半磚
smooth_quartz_slab 平滑石英半磚
granite_slab 花崗岩半磚
andesite_slab 安山岩半磚
red_nether_brick_slab 紅地獄磚半磚
polished_andesite_slab 拋光安山岩半磚
diorite_slab 閃長岩半磚
brick_wall 紅磚牆
prismarine_wall 海磷石牆
red_sandstone_wall 紅砂岩牆
mossy_stone_brick_wall 青苔石磚牆
granite_wall 花崗岩牆
stone_brick_wall 石磚牆
mud_brick_wall 泥磚牆
nether_brick_wall 地獄磚牆
andesite_wall 安山岩牆
red_nether_brick_wall 紅地獄磚牆
sandstone_wall 砂岩牆
end_stone_brick_wall 終界石磚牆
diorite_wall 閃長岩牆
scaffolding 鷹架
loom 紡織機
barrel 木桶
smoker 煙燻爐
blast_furnace 高爐
cartography_table 製圖台
fletching_table 製箭台
grindstone 砂輪
lectern 講台
smithing_table 鍛造台
stonecutter 切石機
bell 鐘
lantern 燈籠
soul_lantern 靈魂燈籠
campfire 營火
soul_campfire 靈魂營火
warped_stem 扭曲蕈柄
stripped_warped_stem 剝皮扭曲蕈柄
warped_hyphae 扭曲菌絲體
stripped_warped_hyphae 剝皮扭曲菌絲體
warped_nylium 扭曲菌絲石
warped_fungus 扭曲蕈菇
warped_wart_block 扭曲疙瘩塊
warped_roots 扭曲蕈根
nether_sprouts 地獄芽
crimson_stem 緋紅蕈柄
stripped_crimson_stem 剝皮緋紅蕈柄
crimson_hyphae 緋紅菌絲體
stripped_crimson_hyphae 剝皮緋紅菌絲體
crimson_nylium 緋紅菌絲石
crimson_fungus 緋紅蕈菇
shroomlight 蕈光體
weeping_vines 垂泣藤
twisting_vines 扭曲藤
crimson_roots 緋紅蕈根
crimson_planks 緋紅蕈木材
warped_planks 扭曲蕈木材
crimson_slab 緋紅蕈木半磚
warped_slab 扭曲蕈木半磚
crimson_pressure_plate 緋紅蕈木壓力板
warped_pressure_plate 扭曲蕈木壓力板
crimson_fence 緋紅蕈木柵欄
warped_fence 扭曲蕈木柵欄
crimson_trapdoor 緋紅蕈木地板門
warped_trapdoor 扭曲蕈木地板門
crimson_fence_gate 緋紅蕈木柵欄門
warped_fence_gate 扭曲蕈木柵欄門
crimson_stairs 緋紅蕈木階梯
warped_stairs 扭曲蕈木階梯
crimson_button 緋紅蕈木按鈕
warped_button 扭曲蕈木按鈕
crimson_door 緋紅蕈木門
warped_door 扭曲蕈木門
crimson_sign 緋紅蕈木告示牌
warped_sign 扭曲蕈木告示牌
composter 堆肥箱
target 標靶
bee_nest 蜂窩
beehive 蜂箱
honey_block 蜂蜜塊
honeycomb_block 蜂巢塊
netherite_block 獄髓方塊
ancient_debris 遠古遺骸
crying_obsidian 哭泣的黑曜石
respawn_anchor 重生錨
lodestone 磁石
blackstone 黑石
blackstone_stairs 黑石階梯
blackstone_wall 黑石牆
blackstone_slab 黑石半磚
polished_blackstone 拋光黑石
polished_blackstone_bricks 拋光黑石磚
cracked_polished_blackstone_bricks 裂紋拋光黑石磚
chiseled_polished_blackstone 浮雕拋光黑石
polished_blackstone_brick_slab 拋光黑石磚半磚
polished_blackstone_brick_stairs 拋光黑石磚階梯
polished_blackstone_brick_wall 拋光黑石磚牆
gilded_blackstone 鑲金黑石
polished_blackstone_stairs 拋光黑石階梯
polished_blackstone_slab 拋光黑石半磚
polished_blackstone_pressure_plate 拋光黑石壓力板
polished_blackstone_button 拋光黑石按鈕
polished_blackstone_wall 拋光黑石牆
chiseled_nether_bricks 浮雕地獄磚
cracked_nether_bricks 裂紋地獄磚
quartz_bricks 石英磚
candle 蠟燭
white_candle 白色蠟燭
orange_candle 橙色蠟燭
magenta_candle 洋紅色蠟燭
light_blue_candle 淺藍色蠟燭
yellow_candle 黃色蠟燭
lime_candle 淺綠色蠟燭
pink_candle 粉紅色蠟燭
gray_candle 灰色蠟燭
light_gray_candle 淺灰色蠟燭
cyan_candle 青色蠟燭
purple_candle 紫色蠟燭
blue_candle 藍色蠟燭
brown_candle 棕色蠟燭
green_candle 綠色蠟燭
red_candle 紅色蠟燭
black_candle 黑色蠟燭
amethyst_block 紫水晶方塊
budding_amethyst 紫水晶芽床
amethyst_cluster 紫水晶晶簇
large_amethyst_bud 大型紫水晶芽
medium_amethyst_bud 中型紫水晶芽
small_amethyst_bud 小型紫水晶芽
tuff 凝灰岩
calcite 方解石
tinted_glass 遮光玻璃
sculk_sensor 伏聆振測器
sculk 伏聆
sculk_vein 伏聆脈絡
sculk_catalyst 伏聆觸媒
sculk_shrieker 伏聆嘯口
oxidized_copper 氧化的銅方塊
weathered_copper 風化的銅方塊
exposed_copper 斑駁的銅方塊
copper_block 銅方塊
copper_ore 銅礦
deepslate_copper_ore 深板岩銅礦
oxidized_cut_copper 氧化的切製銅方塊
weathered_cut_copper 風化的切製銅方塊
exposed_cut_copper 斑駁的切製銅方塊
cut_copper 切製銅方塊
oxidized_cut_copper_stairs 氧化的切製銅階梯
weathered_cut_copper_stairs 風化的切製銅階梯
exposed_cut_copper_stairs 斑駁的切製銅階梯
cut_copper_stairs 切製銅階梯
oxidized_cut_copper_slab 氧化的切製銅半磚
weathered_cut_copper_slab 風化的切製銅半磚
exposed_cut_copper_slab 斑駁的切製銅半磚
cut_copper_slab 切製銅半磚
waxed_copper_block 上蠟的銅方塊
waxed_weathered_copper 上蠟的風化銅方塊
waxed_exposed_copper 上蠟的斑駁銅方塊
waxed_oxidized_copper 上蠟的氧化銅方塊
waxed_oxidized_cut_copper 上蠟的氧化切製銅方塊
waxed_weathered_cut_copper 上蠟的風化切製銅方塊
waxed_exposed_cut_copper 上蠟的斑駁切製銅方塊
waxed_cut_copper 上蠟的切製銅方塊
waxed_oxidized_cut_copper_stairs 上蠟的氧化切製銅階梯
waxed_weathered_cut_copper_stairs 上蠟的風化切製銅階梯
waxed_exposed_cut_copper_stairs 上蠟的斑駁切製銅階梯
waxed_cut_copper_stairs 上蠟的切製銅階梯
waxed_oxidized_cut_copper_slab 上蠟的氧化切製銅半磚
waxed_weathered_cut_copper_slab 上蠟的風化切製銅半磚
waxed_exposed_cut_copper_slab 上蠟的斑駁切製銅半磚
waxed_cut_copper_slab 上蠟的切製銅半磚
lightning_rod 避雷針
pointed_dripstone 鐘乳石
dripstone_block 鐘乳石方塊
spore_blossom 孢子花
azalea 杜鵑叢
flowering_azalea 開花的杜鵑叢
moss_carpet 覆地苔蘚
moss_block 苔蘚方塊
big_dripleaf 大懸葉草
small_dripleaf 小懸葉草
hanging_roots 懸根
rooted_dirt 扎根土
mud 泥巴
deepslate 深板岩
cobbled_deepslate 深板岩碎石
cobbled_deepslate_stairs 碎深板岩階梯
cobbled_deepslate_slab 碎深板岩半磚
cobbled_deepslate_wall 碎深板岩牆
polished_deepslate 拋光深板岩
polished_deepslate_stairs 拋光深板岩階梯
polished_deepslate_slab 拋光深板岩半磚
polished_deepslate_wall 拋光深板岩牆
deepslate_tiles 深板岩磚瓦
deepslate_tile_stairs 深板岩磚瓦階梯
deepslate_tile_slab 深板岩磚瓦半磚
deepslate_tile_wall 深板岩磚瓦牆
deepslate_bricks 深板岩磚
deepslate_brick_stairs 深板岩磚階梯
deepslate_brick_slab 深板岩磚半磚
deepslate_brick_wall 深板岩磚牆
chiseled_deepslate 浮雕深板岩
cracked_deepslate_bricks 裂紋深板岩磚
cracked_deepslate_tiles 裂紋深板岩磚瓦
infested_deepslate 蛀蝕的深板岩
smooth_basalt 平滑玄武岩
raw_iron_block 鐵原礦方塊
raw_copper_block 銅原礦方塊
raw_gold_block 金原礦方塊
ochre_froglight 赭黃蛙光體
verdant_froglight 蒼翠蛙光體
pearlescent_froglight 珠紫蛙光體
frogspawn 青蛙卵
reinforced_deepslate 強化深板岩
stone 石頭
granite 花崗岩
polished_granite 拋光花崗岩
diorite 閃長岩
polished_diorite 拋光閃長岩
andesite 安山岩
polished_andesite 拋光安山岩
deepslate 深板岩
cobbled_deepslate 深板岩碎石
polished_deepslate 拋光深板岩
calcite 方解石
tuff 凝灰岩
dripstone_block 鐘乳石方塊
grass_block 草地
dirt 泥土
coarse_dirt 粗泥
podzol 灰壤
rooted_dirt 扎根土
mud 泥巴
crimson_nylium 緋紅菌絲石
warped_nylium 扭曲菌絲石
cobblestone 鵝卵石
oak_planks 橡木材
spruce_planks 杉木材
birch_planks 樺木材
jungle_planks 叢林木材
acacia_planks 相思木材
dark_oak_planks 黑橡木材
mangrove_planks 紅樹林木材
crimson_planks 緋紅蕈木材
warped_planks 扭曲蕈木材
oak_sapling 橡木樹苗
spruce_sapling 杉木樹苗
birch_sapling 樺木樹苗
jungle_sapling 叢林木樹苗
acacia_sapling 相思木樹苗
dark_oak_sapling 黑橡木樹苗
mangrove_propagule 紅樹林木胎生苗
bedrock 基岩
sand 沙
red_sand 紅沙
gravel 礫石
coal_ore 煤礦
deepslate_coal_ore 深板岩煤礦
iron_ore 鐵礦
deepslate_iron_ore 深板岩鐵礦
copper_ore 銅礦
deepslate_copper_ore 深板岩銅礦
gold_ore 金礦
deepslate_gold_ore 深板岩金礦
redstone_ore 紅石礦
deepslate_redstone_ore 深板岩紅石礦
emerald_ore 綠寶石礦
deepslate_emerald_ore 深板岩綠寶石礦
lapis_ore 青金石礦
deepslate_lapis_ore 深板岩青金石礦
diamond_ore 鑽石礦
deepslate_diamond_ore 深板岩鑽石礦
